State,County,Index,Density,Population,Female Share,Caucasian Share,Less Than High School,Below Poverty Percent,UnEmployement,Pop Per SqMile,Homocides,Firearms Homocides,Strictness
Arkansas,Arkansas County|Arkansas,4,0.652926,18820,51.6,27.5,15.900000000000006,15.8,7.9000000000000004,19.2,4,3,Loose
Arkansas,Ashley County|Arkansas,4,0.483183,21252,51.6,28.099999999999994,15.799999999999997,18.9,12.9,23.6,3,3,Loose
Arkansas,Baxter County|Arkansas,4,0.34158,40996,51.9,3,12.400000000000006,15.5,8,74.9,3,3,Loose
Arkansas,Benton County|Arkansas,4,0.7484,237301,50.5,9.7999999999999972,14.200000000000003,12.2,6,261.2,3,1,Loose
Arkansas,Boone County|Arkansas,4,0.378018,37389,50.7,3.5,14.599999999999994,16.6,7.4000000000000004,62.5,3,2,Loose
Arkansas,Bradley County|Arkansas,4,0.504084,11192,51.2,31.599999999999994,24,31.3,10.300000000000001,17.7,0,0,Loose
Arkansas,Calhoun County|Arkansas,4,0,5219,48.9,23.799999999999997,19.5,14.9,9,8.5,0,0,Loose
Arkansas,Carroll County|Arkansas,4,0.271661,27760,50.8,5.2000000000000028,15.400000000000006,18.8,5.5999999999999996,43.6,1,0,Loose
Arkansas,Chicot County|Arkansas,4,0.457203,11338,50.8,56.5,25.799999999999997,33,10.5,18.3,0,0,Loose
Arkansas,Clark County|Arkansas,4,0.45623,22697,52.3,26.599999999999994,13.799999999999997,24.3,9.5999999999999996,26.6,1,1,Loose
Arkansas,Clay County|Arkansas,4,0.411428,15294,50.9,2.4000000000000057,23.900000000000006,20.2,12.5,25.2,0,0,Loose
Arkansas,Cleburne County|Arkansas,4,0.244782,25656,50.7,2.9000000000000057,15.5,15.8,7.5,46.9,1,1,Loose
Arkansas,Cleveland County|Arkansas,4,0,8562,51.2,13.5,15.200000000000003,17.7,7.2000000000000002,14.5,0,0,Loose
Arkansas,Columbia County|Arkansas,4,0.425138,24266,52.2,38.799999999999997,14.599999999999994,25.4,8.9000000000000004,32.1,1,1,Loose
Arkansas,Conway County|Arkansas,4,0.294834,21176,51,14.900000000000006,15.5,24,7.9000000000000004,38.5,0,0,Loose
Arkansas,Craighead County|Arkansas,4,0.678318,101647,51.2,17.299999999999997,15.099999999999994,20.6,7,136.4,5,4,Loose
Arkansas,Crawford County|Arkansas,4,0.480387,61658,50.8,8.4000000000000057,17.799999999999997,20.2,7.7000000000000002,104.4,0,0,Loose
Arkansas,Crittenden County|Arkansas,4,0.791128,49758,52.7,53.700000000000003,20.900000000000006,26.3,11.699999999999999,83.5,6,6,Loose
Arkansas,Cross County|Arkansas,4,0.432121,17504,51.6,24.900000000000006,21,17.4,8.4000000000000004,29,1,1,Loose
