"Weekly Lyme Disease Cases, 2006-2014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data provided by Project Tycho, Data Version 1.0.0, released 28 November 2013.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YEAR,WEEK,ALABAMA,ALASKA,AMERICAN SAMOA,ARIZONA,ARKANSAS,CALIFORNIA,COLORADO,CONNECTICUT,DELAWARE,DISTRICT OF COLUMBIA,FLORIDA,GEORGIA,GUAM,HAWAII,IDAHO,ILLINOIS,INDIANA,IOWA,KANSAS,KENTUCKY,LOUISIANA,MAINE,MARYLAND,MASSACHUSETTS,MICHIGAN,MINNESOTA,MISSISSIPPI,MISSOURI,MONTANA,NEBRASKA,NEVADA,NEW HAMPSHIRE,NEW JERSEY,NEW MEXICO,NEW YORK,NEW YORK CITY,NORTH CAROLINA,NORTH DAKOTA,NORTHERN MARIANA ISLANDS,OHIO,OKLAHOMA,OREGON,PAC TRUST TERR,PENNSYLVANIA,PUERTO RICO,RHODE ISLAND,SOUTH CAROLINA,SOUTH DAKOTA,TENNESSEE,TEXAS,UPSTATE NEW YORK,UTAH,VERMONT,VIRGIN ISLANDS,VIRGINIA,WASHINGTON,WEST VIRGINIA,WISCONSIN,WYOMING
2006,36,-,-,-,-,-,4,-,20,1,-,1,-,-,-,-,-,-,-,-,-,-,9,2,-,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,14,-,-,-,-,1,-,75,-,1,-,-,-,-,-,-
2006,37,-,-,-,-,-,8,-,46,-,4,2,-,-,-,-,-,-,-,-,-,-,-,2,-,1,-,-,-,-,-,-,1,-,-,-,-,2,-,-,-,-,-,-,16,-,-,1,-,-,-,160,-,-,-,6,-,-,-,-
2006,38,-,-,-,-,-,12,-,72,4,-,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,167,-,-,-,-,-,1,-,-,-,-,-,-,-,1,-,-,-,17,-,-,-,-,-,-,164,-,-,-,-,-,1,-,-
2006,39,-,-,-,-,-,8,-,32,-,1,5,-,-,-,2,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,2,-,-,-,-,1,-,-,1,-,-,-,10,-,-,-,-,-,-,161,-,1,-,9,-,-,-,-
2006,40,-,-,-,-,-,-,-,11,-,2,3,-,-,-,-,-,-,-,-,-,-,16,2,-,1,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,11,-,-,-,-,-,1,51,-,-,-,1,-,-,-,-
2006,41,-,-,-,1,-,4,-,37,2,-,-,-,-,-,-,-,-,-,-,-,-,16,2,-,-,-,-,1,-,-,-,1,-,-,-,-,1,-,-,-,-,-,-,5,-,-,1,-,1,-,57,-,2,-,-,-,-,-,-
2006,42,-,-,-,1,-,3,-,19,2,5,-,-,-,-,-,-,-,-,-,-,-,17,4,-,1,29,-,-,-,1,-,2,-,-,-,-,-,-,-,-,-,-,-,7,-,-,-,-,-,1,60,-,-,-,4,-,-,-,-
2006,43,-,-,-,-,-,4,-,6,-,-,3,-,-,-,-,-,1,-,-,-,-,12,5,-,-,60,-,-,-,-,-,1,-,-,-,-,2,-,-,-,-,-,-,11,-,-,-,-,-,-,151,-,-,-,-,-,-,-,-
2006,44,-,-,-,-,-,8,-,31,-,5,-,1,-,-,-,-,-,-,-,-,-,-,5,-,-,119,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,16,-,30,-,-,-,-,115,-,-,-,-,-,-,-,-
2006,45,3,-,-,-,-,3,-,10,1,-,4,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,7,3,-,-,-,2,-,-,-,-,-,-,3,-,62,-,-,-,-,22,-,2,-,-,-,-,-,-
2006,46,-,-,-,-,-,-,-,7,-,1,3,-,-,-,-,-,-,-,-,-,-,21,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,93,-,-,-,-,43,-,-,-,-,-,-,-,-
2006,47,-,-,-,-,-,1,-,16,-,-,4,-,-,-,-,-,-,-,-,-,-,18,6,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,3,-,49,-,-,-,1,52,-,-,-,-,-,-,-,-
2006,48,1,-,-,-,-,2,-,3,2,-,4,-,-,-,-,-,2,-,-,-,-,6,24,-,1,53,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,135,-,1,-,15,-,-,-,-
2006,49,1,-,-,-,-,1,-,11,-,3,3,-,-,-,-,-,-,-,-,-,-,-,5,-,-,40,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,29,-,-,-,-,-,-,59,-,-,-,-,-,-,-,-
2006,50,-,-,-,-,-,3,-,10,5,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,31,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,18,-,-,-,-,-,-,73,-,-,-,0,-,-,-,-
2006,51,-,-,-,-,-,-,-,16,-,-,2,-,-,-,-,-,-,-,-,-,-,6,9,-,-,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,27,-,-,-,-,-,-,40,-,2,-,10,-,-,-,-
2006,52,-,-,-,-,-,-,-,7,-,-,1,-,-,-,-,-,-,-,-,-,-,-,13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,23,-,-,-,-,-,1,25,-,1,-,2,-,-,-,-
2007,1,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16,-,-,-,-,-,-,-,-
2007,2,-,-,-,-,-,-,-,1,2,-,2,-,-,-,-,-,-,-,-,-,-,-,16,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,1,-,-,-,-,-,-
2007,3,-,-,-,-,-,-,-,3,3,-,1,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,95,-,-,-,-,-,-,6,-,-,-,-,-,-,-,-
2007,4,-,-,-,-,-,2,-,1,3,-,1,-,-,-,-,-,-,-,-,-,-,-,14,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,1,7,-,1,-,1,-,-,-,-
2007,5,-,-,-,-,-,2,-,1,2,-,2,-,-,-,-,-,-,-,-,-,-,-,10,-,-,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,-,-,-,-,-,-,15,-,-,-,2,-,-,-,-
2007,6,-,-,-,-,-,-,-,1,2,-,-,-,-,-,-,-,-,-,-,-,-,5,3,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,-,-,18,-,1,-,-,-,-,-,-
2007,7,-,1,-,-,-,-,-,5,-,-,1,-,-,-,-,-,-,-,-,-,-,-,57,-,-,5,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,2,-,7,-,-,-,-,-,-,4,-,-,-,1,-,-,-,-
2007,8,-,1,-,-,-,2,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,1,18,-,-,-,8,-,-,-,-
2007,9,-,-,-,-,-,2,-,5,3,-,-,-,-,-,-,-,-,-,-,-,-,-,72,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12,-,-,-,-,-,-,-,-
2007,10,-,-,-,-,-,3,-,2,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,17,-,-,-,2,-,-,-,-
2007,11,-,-,-,-,-,1,-,-,2,1,1,-,-,-,-,-,-,-,1,-,-,8,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,21,-,-,-,-,-,-,-,-
2007,12,-,-,-,-,-,-,-,-,2,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,7,-,-,-,-,-,-,14,-,1,-,1,-,-,-,-
2007,13,-,-,-,-,-,3,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,10,-,-,-,-,-,-,-,-,1,-,-,-,-,4,-,-,-,-,-,-,3,-,-,-,-,-,1,29,-,-,-,3,-,-,-,-
2007,14,-,-,-,-,-,5,-,-,4,-,3,-,-,-,-,-,-,-,-,-,-,-,15,-,-,-,-,1,-,-,-,1,-,-,-,-,1,-,-,-,-,-,-,3,-,-,-,-,-,-,16,-,1,-,3,-,-,-,-
2007,15,-,-,-,-,-,3,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,-,-,-,-,-,2,-,-,-,-,-,-,-,1,-,-,-,8,-,-,-,-,-,-,18,-,-,-,-,-,-,-,-
